19
Color index: 10.1, color rate: 0.7, trans_rate: 11.7
Color index: 10.8, color rate: 0.7, trans_rate: 11.7
Color index: 11.5, color rate: 0.7, trans_rate: 11.7
Color index: 12.2, color rate: 0.7, trans_rate: 11.7
Color index: 12.9, color rate: 0.7, trans_rate: 11.7
Color index: 13.6, color rate: 0.7, trans_rate: 11.7
Color index: 14.3, color rate: 0.7, trans_rate: 11.7
Color index: 15.0, color rate: 0.7, trans_rate: 11.7
Color index: 15, color rate: 0.7, trans_rate: 11.7
Color index: 8 errorper: 0.101644811122error: -3.81528136242
Color index: 14.65, color rate: -0.35, trans_rate: -5.95
Color index: 14.3, color rate: -0.35, trans_rate: -5.95
Color index: 13.95, color rate: -0.35, trans_rate: -5.95
Color index: 13.6, color rate: -0.35, trans_rate: -5.95
Color index: 13.25, color rate: -0.35, trans_rate: -5.95
Color index: 12.9, color rate: -0.35, trans_rate: -5.95
Color index: 12.55, color rate: -0.35, trans_rate: -5.95
Color index: 12.2, color rate: -0.35, trans_rate: -5.95
Color index: 11.85, color rate: -0.35, trans_rate: -5.95
Color index: 11.5, color rate: -0.35, trans_rate: -5.95
Color index: 11.15, color rate: -0.35, trans_rate: -5.95
Color index: 10.8, color rate: -0.35, trans_rate: -5.95
Color index: 10.45, color rate: -0.35, trans_rate: -5.95
Color index: 10.1, color rate: -0.35, trans_rate: -5.95
Color index: 9.75, color rate: -0.35, trans_rate: -5.95
Color index: 9.4, color rate: -0.35, trans_rate: -5.95
Color index: 9.05, color rate: -0.35, trans_rate: -5.95
Color index: 8.7, color rate: -0.35, trans_rate: -5.95
Color index: 8.35, color rate: -0.35, trans_rate: -5.95
Color index: 8.0, color rate: -0.35, trans_rate: -5.95
Color index: 8, color rate: -0.35, trans_rate: -5.95
Color index: 9 errorper: 0.0817512662719error: -1.14941453737
Color index: 8.05, color rate: 0.05, trans_rate: 0.15
Color index: 8.1, color rate: 0.05, trans_rate: 0.15
Color index: 8.15, color rate: 0.05, trans_rate: 0.15
Color index: 8.2, color rate: 0.05, trans_rate: 0.15
Color index: 8.25, color rate: 0.05, trans_rate: 0.15
Color index: 8.3, color rate: 0.05, trans_rate: 0.15
Color index: 8.35, color rate: 0.05, trans_rate: 0.15
Color index: 8.4, color rate: 0.05, trans_rate: 0.15
Color index: 8.45, color rate: 0.05, trans_rate: 0.15
Color index: 8.5, color rate: 0.05, trans_rate: 0.15
Color index: 8.55, color rate: 0.05, trans_rate: 0.15
Color index: 8.6, color rate: 0.05, trans_rate: 0.15
Color index: 8.65, color rate: 0.05, trans_rate: 0.15
Color index: 8.7, color rate: 0.05, trans_rate: 0.15
Color index: 8.75, color rate: 0.05, trans_rate: 0.15
Color index: 8.8, color rate: 0.05, trans_rate: 0.15
Color index: 8.85, color rate: 0.05, trans_rate: 0.15
Color index: 8.9, color rate: 0.05, trans_rate: 0.15
Color index: 8.95, color rate: 0.05, trans_rate: 0.15
Color index: 9, color rate: 0.05, trans_rate: 0.15
Color index: 2 errorper: 0.79412184847error: -11.829194566
Color index: 8.65, color rate: -0.35, trans_rate: -5.35
Color index: 8.3, color rate: -0.35, trans_rate: -5.35
Color index: 7.95, color rate: -0.35, trans_rate: -5.35
Color index: 7.6, color rate: -0.35, trans_rate: -5.35
Color index: 7.25, color rate: -0.35, trans_rate: -5.35
Color index: 6.9, color rate: -0.35, trans_rate: -5.35
Color index: 6.55, color rate: -0.35, trans_rate: -5.35
Color index: 6.2, color rate: -0.35, trans_rate: -5.35
Color index: 5.85, color rate: -0.35, trans_rate: -5.35
Color index: 5.5, color rate: -0.35, trans_rate: -5.35
Color index: 5.15, color rate: -0.35, trans_rate: -5.35
Color index: 4.8, color rate: -0.35, trans_rate: -5.35
Color index: 4.45, color rate: -0.35, trans_rate: -5.35
Color index: 4.1, color rate: -0.35, trans_rate: -5.35
Color index: 3.75, color rate: -0.35, trans_rate: -5.35
Color index: 3.4, color rate: -0.35, trans_rate: -5.35
Color index: 3.05, color rate: -0.35, trans_rate: -5.35
Color index: 2.7, color rate: -0.35, trans_rate: -5.35
Color index: 2.35, color rate: -0.35, trans_rate: -5.35
Color index: 2.0, color rate: -0.35, trans_rate: -5.35
Color index: 2, color rate: -0.35, trans_rate: -5.35
Color index: 18 errorper: 0.928499815539error: 5.64962264557
Color index: 2.8, color rate: 0.8, trans_rate: 12.95
Color index: 3.6, color rate: 0.8, trans_rate: 12.95
Color index: 4.4, color rate: 0.8, trans_rate: 12.95
Color index: 5.2, color rate: 0.8, trans_rate: 12.95
Color index: 6.0, color rate: 0.8, trans_rate: 12.95
Color index: 6.8, color rate: 0.8, trans_rate: 12.95
Color index: 7.6, color rate: 0.8, trans_rate: 12.95
Color index: 8.4, color rate: 0.8, trans_rate: 12.95
Color index: 9.2, color rate: 0.8, trans_rate: 12.95
Color index: 10.0, color rate: 0.8, trans_rate: 12.95
Color index: 10.8, color rate: 0.8, trans_rate: 12.95
Color index: 11.6, color rate: 0.8, trans_rate: 12.95
